OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
73509,Folsom St&25TH St NW-NS/PS,FOLS25S1,FOLS25ST,4680,37.750999,-122.414048,,25TH ST,FOLSOM ST,NS,NW,,0,1729767266000,15729796,147,9,POINT (-122.414048 37.750999),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,3,2,20,53,53
74618,16th Ave&Moraga St NW-NS/SB,16AVMOR0,16AVMORA,3277,37.75636,-122.47368,,MORAGA ST,16TH AVE,NS,NW,FL,0,1729767266000,15734384,147,7,POINT (-122.47368 37.75636),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,8,14,44,44
73401,Divisadero St&Eddy St SE-NS/BZ,DIVIEDD1,DIVIEDDY,4414,37.780591,-122.438942,,SCOTT ST,EDDY ST,NS,SE,BZ,1,1729767266000,15729475,147,5,POINT (-122.438942 37.780591),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,4,11,39,13,13
72927,Broad St&Orizaba Ave NE-NS/PS,BRODORI1,BRODORIZ,3717,37.713178,-122.462331,,ORIZABA AVE,BROAD ST,NS,NE,,0,1729767266000,15728541,147,11,POINT (-122.462331 37.713178),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,1,24,81,81
74496,25th St&Wisconsin St NE-NS/PS,25STWIS1,25STWISC,3512,37.75224,-122.39831,,WISCONSIN ST,25TH ST,NS,NE,,0,1729767266000,15734298,147,10,POINT (-122.39831 37.75224),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,2,9,26,54,54
74141,Oakpark Dr&Forest Knolls Dr NE-NS,OKPKF K1,OKPKF KN,5820,37.755303999999995,-122.455411,,FOREST KNOLLS DR,OAK PARK DR,NS,NE,,0,1729767266000,15732287,147,7,POINT (-122.455411 37.755304),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,7,8,14,111,111
75166,Quintara St&17th Ave SW-NS/SB,QUIN17A1,QUIN17AV,6139,37.74867,-122.47408,,17TH AVE,QUINTARA ST,NS,SW,FL,0,1729767266000,15737998,147,7,POINT (-122.47408 37.74867),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,8,41,44,44
73709,Gilman Ave&Ingalls St E-NS/SB,GLMNING1,GLMNINGL,4785,37.720349999999996,-122.391729,,INGALLS ST,GILMAN AVE,NS,EA,,0,1729767266000,15730709,147,10,POINT (-122.391729 37.72035),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,2,9,1,88,88
74210,Jones St&Post St NW-NS/BZ,JONEPOS0,JONEPOST,5186,37.78781,-122.41344,,POST ST,JONES ST,NS,NW,BZ,1,1729767266000,15732610,147,3,POINT (-122.41344 37.78781),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,6,3,21,50,50
75673,Hyde St&Lombard St SE-NS,HYDELOM0,HYDELOMB,5077,37.801912,-122.419562,,LOMBARD ST,HYDE ST,MI,EA,,0,1729767266000,15736943,147,3,POINT (-122.419562 37.801912),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,6,6,32,107,107
